lambda_m,alpha_max,m_ev,theta_max,kappa_v_bound_GeV
2.99528567943e-05,439300.9090504425,0.006587918533284983,1.578016377349651e-13,1.002296987645224e-11
4.20901375996e-05,212179.1632826823,0.004688199935983941,1.0966847930247411e-13,6.965731663008379e-12
4.95389180333e-05,293677.66862456617,0.003983271904876021,1.2902263796843608e-13,8.195035440063102e-12
5.60406803019e-05,42890.16438057917,0.0035211382041932466,4.930708300962819e-14,3.131801512296534e-12
7.06864164176e-05,5002.557931158214,0.002791582745321747,1.6839396328305423e-14,1.0695754781691212e-12
7.59307120156e-05,30509.85833809346,0.002598776900175242,4.158632571898836e-14,2.6414078835722655e-12
8.5163745616e-05,1688.6186010236213,0.0023170303158076165,9.783544837327366e-15,6.214141791997653e-13
8.92784800926e-05,10913.11356590286,0.0022102412607756276,2.4871661165583144e-14,1.5797549012682434e-12
0.0001084451467412,1618.342172667529,0.0018196017648527225,9.577797067007981e-15,6.083458502922924e-13
0.0001163783787878,373.4211164844035,0.0016955639222281885,4.60076331594919e-15,2.9222327972219546e-13
0.0001298172202008,14.271146324035708,0.0015200370189315142,8.994144998549221e-16,5.712744536676489e-14
0.0001540141337326,1.991148839134069,0.0012812264408317221,3.359559349491965e-16,2.1338664567389577e-14
0.0001584536280299,65.3331290835831,0.001245329519137073,1.924408137472442e-15,1.2223120791864904e-13
0.0001597641723135,683.2603733890402,0.0012351140906159594,6.223340626705122e-15,3.9528332232603776e-13
0.0001876384095259,0.2175147556721186,0.001051634262401711,1.1103881467646785e-16,7.052770241132925e-15
0.0002552631953029,7.768435647564011,0.0007730334181778465,6.635860405300666e-16,4.214850359055144e-14
0.0002648568491024,0.0263629548222938,0.0007450325754034348,3.865694219683607e-17,2.4553443976633212e-15
0.0003188144833771,0.0118648736943665,0.0006189398245329958,2.5933552640633486e-17,1.6472022764619466e-15
0.0003806486216975,0.1089857327477454,0.0005183966764939845,7.859868487921089e-17,4.992294517223106e-15
0.0004000411932123,0.0052859527359091,0.0004932666529051158,1.7309801714321748e-17,1.0994538690492041e-15
0.0005000680927682,3.7821912347112288,0.00039460022195710916,4.630226083152873e-16,2.9409464450901357e-14
0.0005199521818686,0.3392621163466163,0.0003795098612546405,1.3867498854607345e-16,8.808116650532564e-15
0.0006678026363142,0.3536703019026275,0.0002954869742490175,1.4158907736884092e-16,8.993208674336273e-15
0.0006716463180173,0.0058843126867163,0.00029379596836398846,1.8263261037545415e-17,1.160014039477498e-15
0.0006945771356891,3.297769894931006,0.00028409656791283385,4.3235514333014094e-16,2.746158176637857e-14
0.0007615873169981,0.1820147893532256,0.0002590996147070715,1.015742896746898e-16,6.451619008804928e-15
0.000813768887605,0.0031135121635991,0.00024248528471118163,1.3284821963230112e-17,8.438022080298278e-16
0.000877402716936,0.6575752017901206,0.00022489898491435094,1.9306483076281015e-16,1.2262756018971454e-14
0.0009288694666433,0.0941988101544093,0.00021243779399175423,7.307236503492285e-17,4.641283348251784e-15
