lambda_m,alpha_max,yN_max_universal,MC_min_GeV_for_phiT,MC_min_eV,log10_yN_max,log10_MC_min_GeV
2.99528567943e-05,439300.9090504425,1.8073101176602966e-16,5195566553988026.0,5.195566553988026e+24,-15.742967320138115,15.715632912404226
4.20901375996e-05,212179.1632826823,1.256038625940463e-16,7475884742771510.0,7.47588474277151e+24,-15.900997004886351,15.873662597152462
4.95389180333e-05,293677.66862456617,1.477702781508636e-16,6354457822982126.0,6.354457822982126e+24,-15.830412909196383,15.803078501462494
5.60406803019e-05,42890.16438057917,5.647165091232243e-17,1.6627812093857256e+16,1.6627812093857256e+25,-16.248169515758228,16.22083510802434
7.06864164176e-05,5002.557931158214,1.928624556517805e-17,4.868754765289286e+16,4.868754765289287e+25,-16.714752307816067,16.687417900082178
7.59307120156e-05,30509.85833809346,4.762902863814242e-17,1.9714867736102164e+16,1.9714867736102162e+25,-16.322128275540614,16.294793867806725
8.5163745616e-05,1688.6186010236213,1.1205143257627308e-17,8.380080275732536e+16,8.380080275732536e+25,-16.950582586643485,16.923248178909596
8.92784800926e-05,10913.11356590286,2.8485639003996896e-17,3.2963978791848284e+16,3.2963978791848285e+25,-16.545374033788587,16.518039626054698
0.0001084451467412,1618.342172667529,1.0969499298336587e-17,8.560099002352733e+16,8.560099002352733e+25,-16.95981319529969,16.932478787565802
0.0001163783787878,373.4211164844035,5.269277435409595e-18,1.7820280133475437e+17,1.7820280133475438e+26,-17.27824893456529,17.2509145268314
0.0001298172202008,14.271146324035708,1.0301039639958055e-18,9.115584764450276e+17,9.115584764450276e+26,-17.987118941594662,17.959784533860773
0.0001540141337326,1.991148839134069,3.847720271075307e-19,2.4404060946394665e+18,2.4404060946394664e+27,-18.414796508657165,18.387462100923276
0.0001584536280299,65.3331290835831,2.2040343479851663e-18,4.2603691764531424e+17,4.260369176453143e+26,-17.65678164166046,17.62944723392657
0.0001597641723135,683.2603733890402,7.127623414898412e-18,1.3174096684699544e+17,1.3174096684699544e+26,-17.147055254138415,17.119720846404526
0.0001876384095259,0.2175147556721186,1.2717331461086651e-19,7.383624488150015e+18,7.383624488150015e+27,-18.89560400923072,18.86826960149683
0.0002552631953029,7.768435647564011,7.60008439837876e-19,1.2355125953605284e+18,1.2355125953605284e+27,-18.11918158488412,18.091847177150232
0.0002648568491024,0.0263629548222938,4.427399091224428e-20,2.1208840238983586e+19,2.1208840238983585e+28,-19.35385132841543,19.32651692068154
0.0003188144833771,0.0118648736943665,2.9701828667338054e-20,3.1614215088129634e+19,3.161421508812963e+28,-19.52721681143411,19.49988240370022
0.0003806486216975,0.1089857327477454,9.001947030206e-20,1.0431076708729666e+19,1.0431076708729664e+28,-19.045663546891532,19.018329139157643
0.0004000411932123,0.0052859527359091,1.9825003226855237e-20,4.73644311304836e+19,4.7364431130483596e+28,-19.702786733321567,19.675452325587678
0.0005000680927682,3.7821912347112288,5.303021291319961e-19,1.7706887233075315e+18,1.7706887233075316e+27,-18.275476629211024,18.248142221477135
0.0005199521818686,0.3392621163466163,1.5882516396102711e-19,5.912161376583966e+18,5.912161376583966e+27,-18.79908068765439,18.7717462799205
0.0006678026363142,0.3536703019026275,1.6216268459056201e-19,5.790481345143262e+18,5.790481345143263e+27,-18.79004907454435,18.76271466681046
0.0006716463180173,0.0058843126867163,2.091700499969733e-20,4.48917041428057e+19,4.489170414280569e+28,-19.67950049978667,19.65216609205278
0.0006945771356891,3.297769894931006,4.951785267751323e-19,1.896285782251647e+18,1.896285782251647e+27,-18.30523819659147,18.277903788857582
0.0007615873169981,0.1820147893532256,1.1633354638026582e-19,8.071618455872044e+18,8.071618455872044e+27,-18.93429503241645,18.90696062468256
0.000813768887605,0.0031135121635991,1.5215173612955166e-20,6.17147082173598e+19,6.17147082173598e+28,-19.81772308775417,19.790388680020282
0.000877402716936,0.6575752017901206,2.2111812463444765e-19,4.2465989685483914e+18,4.2465989685483915e+27,-18.655375657664997,18.62804124993111
0.0009288694666433,0.0941988101544093,8.369014830555223e-20,1.1219958609366022e+19,1.1219958609366021e+28,-19.077325662536644,19.049991254802755
